彼『うちの上司っていつもミーティング長引くんだよね。いやんなっちゃう。』	犬『す、すみません。他に用事がなかったから・・』
彼『企画を出しても一回も通らない・・・ちゃんとみてくれてるのかなぁ』	犬『企画書読む前に誰が書いたか見るんだ。お前の名前とバカ面が一致するともうそれ以上読まなくていい。スクリーニングっていうの?』
彼『上司が提案しろってうるさいくせに、したらしたで何も考えないで却下。どういうこと?』	犬『何も考えてない訳じゃないんです。ただそれを取り上げたら会社がつぶれると思うから・・・』
彼『このごろ部下の視線がこわいんだ。何か悪いことしたのかな。気になっちゃう。』	犬『何かうしろめたいことあるんだろう。自首するならつき合うよ』
彼『何言ってるのかわかんない奴困るよね。もっと工夫してほしいよな工夫。』	犬『・・・お前のことか?』
彼『部下が最後まで責任もって仕事しないんだよね。イヤんなっちゃう。』	犬『部下がしゃんとして責任なんてとるようになったら、お前の立場なくなるからね。部下の思いやり。』
彼『上司とか見ていて特に魅力感じないんだよね。』	犬『そりゃ君、君の入った会社ですから』
彼『最近、友達が減ってる気がするな～。あぁさみしい・・・。』	犬『気取るなよ。最初から友達なんていないくせに。』
彼『あの担当者、話長いよ。なんなのかなぁ』	犬『お前に長い話を止める能力がないだけさ』
彼『お客だと思ってわがままばっかり言ってくる。ちょっとはこっちの気持ち考えてくれよ。』	犬『お前もわがまま言ってみろ。お客の一人や二人どうってことないんだ。せいせいするぞ。あとは野となれ山となれだ。』
彼『みんなで俺のことバカにして・・・』	犬『それはね、君のことが好きだから』
彼『最近女の子に対して何言っていいのかわかんないんだよねー』	犬『何も言わなくて良いんだよ。特にお前は』
彼『あいつ、自分のこともわかってないのに何か悟ったつもりになってて笑っちゃう』	犬『その自分の顔を鏡に映して笑ってろ』
彼『どうしても苦手な部下がひとりいるんだよね。イライラする。』	犬『苦手な部下がひとり?俺は全部だ！』
彼『おっさん、ヒマなら電話くらい出てよ～』	犬『わし、今電話が怖い年頃なんだ』
彼『あの上司、自分勝手で困るんだよねー』	犬『自分勝手だから上司になれたんだよ。そんなこと常識だ。』
彼『もう仕事なんか辞めたいな。どうせ大した才能ないんだし。』	犬『そう、才能ないない。ホントにない。』
彼『俺が誘ってもみんな理由をつけて断ってくるよ。俺って人望薄い?』	犬『薄くない薄くない。人望、ないんだって。』
彼『こんな日に仕事なんかしたくない』	犬『雨の日はどうなんだ?風の日は?どうなんだ、どうなんだ?』
彼『休みの日に、いつの間にか一日が終わってることがある。何やってるんだろう俺。』	犬『簡単だ。むだーに一日過ごしたんだ。だけどなかなかいいことだよ。後になってみると、そのむだーな一日が懐かしい。』
彼『めんどくせーなーうちの上司細々とした仕事ふりやがって手柄は自分で持ってくくせに』	犬『僕のことそんな風に思ってたんだ』
彼『どうして早起きしようとしても毎日起きられないんだろう』	犬『今日に期待するものが何もないんだろう。そうに決まってる。要するにもてないんだな。』
彼『電話中に大声で笑うのやめてくれよ。相手に聞こえたらみっともないだろ。』	犬『お前のそういうさもしい心が会社の雰囲気悪くしてんだよ。』
彼『周りにいる人と心が通わない感じがする・・・』	犬『いいんだよ。心なんて通わなくたって。心が通うのが良くて、通わないのが悪いのか?誰が決めたの?』
彼『いいかげん、めげるのやめてほしいよ。声かけるのもう疲れた』	犬『だから、なんでそういう奴のそばに寄って行くんだよ・・・おっとそうかましもお前から離れようっと』
彼『どうしたら燃えるのかなぁ』	犬『火つけるんだよ、火。燃えるぞー』
